Adrenergic syndrome	C0274714
Myocardial Ischemia	C0151744
Duodenitis	C0013298
Osteomalacia	C0029442
Osteomyelitis	C0029443
Bone necrosis	C0029445
Apraxias	C0003635
Bronchopneumonia	C0006285
Cutaneous Candidiasis	C0006846
High density lipoprotein decreased	C0151691
Impaired healing	C0151692
Hemorrhage of colon	C0151694
Sensitisation	C1325847
Black hairy tongue	C0235347
Acute liver injury	C2242583
Cellulitis	C0007642
Cardiotoxicity	C0876994
Catatonia	C0007398
Bronchial Spasm	C0006266
Stiffness	C0427008
Deafness	C0011053
Tongue Diseases	C0040409
Orchitis	C0029191
Capillary fragility increased	C0151541
Localized desquamation	C0520893
Enterocolitis, Necrotizing	C0520459
Attention concentration difficulty	C0858899
Lichen Simplex Chronicus	C0149922
Lack of spontaneous speech	C0855217
Epilepsies, Partial	C0014547
Trismus	C0041105
Myopia	C0027092
Mania acute	C0235165
Vivid dreams	C0344320
Nervous tremulousness	C0235168
Excitability	C0235169
Disk, Herniated	C0242362
Steroid psychosis	C2363722
Pulmonary Infarction	C0034074
Lactic dehydrogenase activity increased	C0151754
Puerperal Disorders	C0034040
Mask-like facies	C0424448
Lower respiratory tract infection	C0149725
Change of bowel habit	C0278008
Phlebitis	C0031542
Verbal repetition	C0392185
Pustular rash	C0085641
Obsessions	C0233697
Sustained ventricular tachycardia	C0750197
Orgasmic Disorder	C0029261
Genital candidiasis	C0343863
Hunger	C0020175
Trembling	C0234369
Psoriasis flare-up	C0235763
Perforation of nasal septum	C0235761
Acute intermittent porphyria	C0162565
Carbohydrate tolerance decreased	C0541820
Upper motor neurone lesion	C0235834
Blood and lymphatic system disorders	C0851353
Serum total protein decreased	C0860703
Ear and labyrinth disorders	C0851354
Pancreatitis	C0030305
Lung infection	C0876973
Pruritus NEC	C0876975
Secondary Infections	C0442886
Nephritis	C0027697
Abdomen distended	C0000731
Abdominal Pain	C0000737
Essential Tremor	C0270736
Bacteremia	C0004610
QRS complex	C0429097
Pharyngitis streptococcal	C0036689
Schizoaffective Disorder	C0036337
Tumour flare	C0853891
Lacrimation abnormal	C0235901
WBC abnormal	C0152009
Tenosynovitis	C0039520
Traumatic fracture	C0877237
Depressed Level of Consciousness	C0549249
Activation syndrome	C1868709
Upper Respiratory Infections	C0041912
Osteophyte	C1956089
Corneal ulcer marginal	C0155067
Clammy skin	C0392162
Corneal erosion	C0392163
Extrapyramidal Disorders	C0015371
Dizziness postural	C0234987
Extravasation	C0015376
Muscle Fatigue	C0242979
Leukonychia	C0240182
Sarcoidosis	C0036202
Adams-Stokes Syndrome	C0001396
Self-injurious ideation	C0522178
Fear of death	C0522179
Liver function test normal	C0438235
Color blindness	C0242225
Urinary tract infection	C0042029
Decreased diastolic arterial pressure	C0277890
Stevens-Johnson Syndrome	C0038325
Musculoskeletal Diseases	C0026857
Urinary Incontinence	C0042024
Increased frequency of micturition	C0042023
Bad taste	C0541799
Early Awakening	C0541798
Blepharitis	C0005741
Lung Neoplasms	C0024121
Blepharospasm	C0005747
Mass of body structure	C0577559
Effusion	C0013687
Granuloma	C0018188
Intestinal Perforation	C0021845
Intestinal Obstruction	C0021843
Pharyngeal oedema	C0236024
Skin odour abnormal	C0234930
Allergic rhinitis (disorder)	C2607914
Periodontal destruction	C0236023
Logorrhoea	C3248383
Function liver decreased	C0232744
Onychomadesis	C0263540
Salmonella infections	C0036117
Family stress	C0577730
Scab	C0205204
Invasive Breast Carcinoma	C0853879
Skin Papule	C1519353
Psychomotor skills impaired	C0877167
Chickenpox	C0008049
Hypomagnesaemia	C0151723
Keloid	C0022548
Wave slowing	C0858603
Labyrinthitis	C0022893
Labyrinthine disorder	C0022890
Oesophageal stenosis acquired	C0858357
Acute Kidney Insufficiency	C1565662
Prostate cancer metastatic	C0936223
Malignant neoplasm of ovary	C1140680
Tooth abscess	C0518988
Reproductive system disorder	C0178829
Movement Disorders	C0026650
Lupus Erythematosus	C0409974
Sleep Disorders, Circadian Rhythm	C0877792
Choreoathetoid movements	C0234967
Positional Vertigo	C0522351
Pleurisy	C0032231
Polyneuritis	C0032541
Metastatic squamous cell carcinoma	C0334246
Sunburn	C0038814
Spinal compression fracture	C0262431
Drug level decreased	C0151598
Drug level increased	C0151599
Ocular Motility Disorders	C0028850
Tongue discolouration	C0151596
Diarrhoea haemorrhagic	C0151594
Homicidal ideation	C0455204
Extrinsic allergic alveolitis	C0002390
Burning sensation	C0085624
Alzheimer's Disease	C0002395
Diabetes Insipidus	C0011848
Suicidal behaviour	C1760428
Comatose	C0009421
Glossalgia	C0017672
Fixed eruption	C0151629
Generalized Spasms	C0151911
Eclampsia	C0013537
Retinal Diseases	C0035309
Bone density decreased	C0877225
Malaise	C0231218
Cutaneous Melanoma	C0151779
Injection site mass	C0151775
Manic psychosis	C0151772
Bone marrow depression	C0151773
Osteopenia	C0029453
Myelosuppression	C0854467
Osteoporosis	C0029456
Major Depressive Disorder	C1269683
Pemphigus	C0030807
Cyst of skin	C0241060
Bullous pemphigoid	C0030805
Leukemia	C0023418
Tooth caries aggravated	C0235353
Ulcer on tongue	C0235351
Pulmonary toxicity	C0919924
Cluster Headache	C0009088
Macromastia	C2225524
Pericarditis	C0031046
Facial bones fracture	C0159321
Cataplexy	C0007384
Pelvic Pain	C0030794
Pulmonary Hypertension	C0020542
Diuresis	C0012797
Breast Fibrocystic Disease	C0016034
Hypertensive crisis	C0020546
Torsades de Pointes	C0040479
Hypertension, Renovascular	C0020545
Influenza-like symptoms	C0392171
Animal bite	C0003044
Initial insomnia	C0393760
Myoclonus	C0027066
Bundle-Branch Block	C0006384
Migraine Disorders	C0149931
Chronic active hepatitis	C0520463
Tic, Vocal	C0751901
Tic, Motor	C0751900
Hypoaesthesia facial	C1696943
Redness	C0332575
Gagging	C0016927
Pulmonary Embolism	C0034065
Oropharyngeal pain	C2363731
Oppositional	C0860661
Exaggerated startle response	C1740801
Respiratory Failure	C1145670
Atrophic Vaginitis	C0221392
Physiologic warmth	C0392197
Muscle rupture	C0149732
Ophthalmia, Sympathetic	C0029077
Polymyositis	C0085655
Mobitz type I incomplete atrioventricular block	C0264907
Odynophagia	C0221150
Rash maculo-papular	C0423791
Systolic hypertension	C0221155
Increased tendency to bruise	C0423798
Abnormal behavior	C0233514
Discharge from eye	C0423006
High density lipoprotein increased	C0853084
Stress at work	C0558919
Somnolence neonatal	C0235774
Diabetes Mellitus, Non-Insulin-Dependent	C0011860
Liver injury	C0160390
Therapeutic response decreased	C0235827
Consciousness abnormal	C0234428
Neuroleptic Malignant Syndrome	C0027849
Skin scaly	C0423773
Scoliosis, unspecified	C0036439
Telangiectasis	C0039446
Battery (assault)	C0542351
Loose stool	C2129214
Bladder irritability	C2945586
Gastric Adenocarcinoma	C0278701
Inappropriate ADH Syndrome	C0021141
Exostoses	C1442903
Injection site infection	C0221714
Steroid acne	C0406479
Influenza like illness	C0521839
Nerve root lesion	C0235919
Decreased interest	C0424091
Back Injuries	C0004601
Erythema	C0041834
Infection of ear	C0699744
Back Pain	C0004604
Bicarbonate level	C0428196
Minimal Brain Dysfunction	C1321905
Paroxysmal nocturnal dyspnea	C1956415
Pain, Postoperative	C0030201
Neuroblastoma	C0027819
Serum albumin low result	C0580493
Mental disorders	C0004936
Lipase increased	C0549475
Decreased erythroid precursor production	C0877221
Hostility	C0020039
Sacroiliitis	C0574960
Gastric irritation	C0392176
Exophthalmos	C0015300
Aneurysm	C0002940
Adjustment Disorders	C0001546
Red cell aplasia	C0281963
Infective vaginitis	C0404521
Corneal Diseases	C0010034
Meningism	C0025287
Meniere Disease	C0025281
Photosensitivity of skin	C0349506
Meningitis	C0025289
Pelvic Inflammatory Disease	C0242172
Varicosity	C0042345
Linear atrophy	C0152459
Septicemia	C0036690
Raised liver function tests	C0877359
Lupus Erythematosus, Cutaneous	C0024137
Metabolic Diseases	C0025517
Hordeolum	C0019917
Central Nervous System Neoplasms	C0085136
Limb paresis	C0587246
Ovarian adenocarcinoma	C0948216
Secretion of saliva	C0036104
Lymphocytoma cutis	C0311220
Uterine Polyp	C0156369
Uveitis	C0042164
On examination - dry lips	C0555724
Uveitis, Posterior	C0042167
Electrocardiogram PR shortened	C0520878
Increased prolactin level	C0747979
Premenstrual syndrome	C0033046
Eosinophil count abnormal	C0853644
Hoarseness	C0019825
Porphyrias, Hepatic	C0162533
Hemoglobinuria	C0019048
Rhinorrhea	C1260880
Nocturia	C0028734
Squamous cell carcinoma of the head and neck	C1168401
Gonorrhea	C0018081
Nystagmus	C0028738
Shock from electric current	C0013781
Gait, Unsteady	C0231686
Ureteral Calculi	C1456865
Dry scalp	C0847631
Cerebral Hemorrhage	C2937358
Perioral Dermatitis	C0263449
Iritis	C0022081
Abnormal ejaculation	C2937350
Leukocytoclastic vasculitis	C2973529
Fear (Mental Process)	C0015726
Virus Diseases	C0042769
Abdominal discomfort	C0232487
Advanced breast cancer	C3495917
Transitory deafness	C0151588
Lip swelling	C0240211
Plague	C0032064
Partial permanent deafness	C0151586
Crystalluria calcium	C0151580
Node-positive breast cancer	C3160887
Node-negative breast cancer	C3160889
Metastatic gastric adenocarcinoma	C3160888
Dry skin	C0151908
Allergic oedema	C0847033
Ulcer	C0041582
Skin warm	C0235218
Alanine aminotransferase increased	C0151905
Neonatal Abstinence Syndrome	C0027609
Discoloration of skin	C0151907
Lennox-Gastaut syndrome	C0238111
Retinal Hemorrhage	C0035317
Cervix haemorrhage uterine	C0948011
Torticollis	C0040485
Arthropod sting	C0852932
Arterial insufficiency	C0003834
Paratyphoid Fever	C0030528
Liver damage	C0151763
Genital infection	C0729552
Liver fatty deposition	C0151765
Acute onset pain	C0184567
Liver function tests abnormal finding	C0151766
Intraabdominal Infections	C1112209
Fluid retention	C0268000
Tandem gait test abnormal	C1142034
Vitreous Detachment	C0042907
Osteosclerosis	C0029464
Appendicitis	C0003615
Hypopigmentation disorder	C0162835
Taste Disorders	C0039338
Ileus	C1258215
Hearing problem	C0260662
Pericardial effusion	C0031039
Hepatitis granulomatous	C0235369
Carditis	C0869523
Sudden death	C0011071
Urogenital haemorrhage	C0919591
Trauma to the abdomen	C0848377
Peliosis Hepatis	C0030781
Hypertrichosis	C0020555
Hypertriglyceridemia	C0020557
Hyperthyroidism	C0020550
McCune-Albright Syndrome	C0242292
Otitis Media	C0029882
Thyroiditis	C0040147
Toothache	C0040460
Euphoric mood	C0235146
Blindness of one eye (disorder)	C0271240
Solid tumour	C0280100
Reactive hypoglycemia	C0271710
Partial thromboplastin time increased (finding)	C0240671
Scleritis	C0036416
Calcinosis	C0006663
Trigeminal Neuralgia	C0040997
Cerebrovascular Disorders	C0007820
Serotonin Syndrome	C0699828
Parkinson Disease	C0030567
Delayed orgasm	C1112573
Carpal Tunnel Syndrome	C0007286
Lenticular pigmentation	C0151757
Hemospermia	C0149707
Hypoesthesia eye	C0854097
Ulcer haemorrhage	C0333291
Acute leukemia	C0085669
Heart alternation	C0919661
Aseptic necrosis	C0085660
Onycholysis	C0085661
Antisocial behavior	C0233523
Opisthotonus	C0151818
Gilles de la Tourette syndrome	C0040517
Ocular toxicity	C1262036
FInding of estrangement	C1369037
Hypernatremia	C0020488
Inhalational anthrax	C0155866
Lymphadenopathy	C0497156
Streptococcal pneumonia	C0155862
Rectal hemorrhage	C0267596
Dysmyelopoietic Syndromes	C0026986
Delusions	C0011253
Coxalgia	C0019559
Traffic accident on public road	C0221706
Ache	C0234238
Sore to touch	C0234233
Acute pulmonary oedema	C0155919
Reduced interest in usual activities	C0860654
Facial Pain	C0015468
Infusion site extravasation	C1608954
Anaphylactoid reaction	C0340865
Ejaculation disorder	C0235969
Long-term memory loss	C0701810
Dreaming excessive	C0235966
HIV Infections	C0019693
Basophilia	C0702266
Uric acid high	C0920063
Ankylosing spondylitis	C0038013
Chloasma	C0025218
Sensation of blood flow	C0549264
Chondrodystrophy	C0008449
Limb injury	C0743668
Erythema multiforme minor	C0857751
Waldenstrom Macroglobulinemia	C0024419
Decreased platelet count	C0392386
Variegate Porphyria	C0162532
Low Back Pain	C0024031
Raynaud Phenomenon	C0034735
Talkativeness	C0859023
Blindness, Transient	C0155003
Perseveration	C0233651
Muscle enzyme increased	C1141893
Rigor - Temperature-associated observation	C0424790
Adnexitis	C0001577
Break-through bleeding (finding)	C3495440
Aseptic Meningitis	C0025290
Vestibular Diseases	C0042594
Restlessness aggravated	C0856081
Blood pressure diastolic increased	C0277889
Hepatosplenomegaly	C0019214
Lingual-Facial-Buccal Dyskinesia	C0152115
Sore eye	C0578687
Hypotensive	C0857353
Papillary muscle rupture	C0155713
Blood pressure systolic decreased	C0277885
Blood pressure systolic increased	C0277884
Mesothelioma	C0025500
Eye Injuries	C0015408
Endocrine System Diseases	C0014130
Reaction aggravation	C0151885
Eye Infections	C0015403
Eye Hemorrhage	C0015402
Vertigo	C0042571
Dermatitis acneiform	C0234894
Tinnitus	C0040264
Jaw pain	C0236000
Peeling of skin	C0237849
Manic episode	C0349208
Hemoptysis	C0019079
Absence Epilepsy	C0014553
Epilepsies, Myoclonic	C0014550
ST segment elevation (finding)	C0520886
Inverted T wave	C0520888
Menstruation Disturbances	C0025345
Gout	C0018099
Venous Thromboembolism	C1861172
Icterus	C0022346
Anemia, Diamond-Blackfan	C1260899
Aphasia	C0003537
Prothrombin level abnormal	C0860700
Gastrointestinal pain	C0687713
Plague, Septicemic	C0152936
Mean blood pressure	C0428886
Blood triglycerides increased	C0853692
Neutrophil count decreased	C0853697
Edema of lower extremities	C0239340
Renal Colic	C0152169
Abdominal tenderness	C0232498
Abdominal pain lower	C0232495
Cutaneous vasculitis	C0262988
Abdominal pain upper	C0232492
Corneal lesion	C0151571
Tachycardia	C0039231
Cough decreased	C0151574
Creatine phosphokinase increased	C0151576
Creatinine renal clearance decreased	C0151577
Creatinine increased	C0151578
Crystalluria	C0151579
Sinus Tachycardia	C0039239
Immobile	C0231441
Benign neoplasm of breast	C0346156
Polyps	C0032584
Paraesthesia oral	C0521591
Hypoaesthesia oral	C0521592
Thrombophlebitis	C0040046
Intolerant of heat	C0231274
Congenital adrenal hyperplasia	C0001627
Metastatic Carcinoma	C1384494
Ulcer of esophagus	C0151970
Adrenal gland hypofunction	C0001623
Visual disturbance	C0547030
Manic	C0338831
Hypermagnesemia	C0151714
Skin hypertrophy	C0151717
Peritonitis	C0031154
Rhinitis, Allergic, Perennial	C0035457
Rhinitis	C0035455
Hypocholesterolemia	C0151718
Antinuclear antibody positive	C0151480
Eruptions	C0302295
Hepatotoxicity	C0235378
Impaired glucose tolerance	C0271650
Ear Inflammation	C0029877
Distress	C0231303
Kidney Failure	C0035078
Phototoxicity	C1527358
Otitis Externa	C0029878
Anemia, Macrocytic	C0002886
Water retention (finding)	C0542203
Mucositis	C0333355
Joint injury	C0409497
Hypervigilance	C0235013
Endometrial disorder	C0151622
Enzyme abnormality	C0151625
Necrolysis epidermal	C0151626
Monocytosis	C0085702
Peripheral Vascular Diseases	C0085096
Dislocations	C0012691
Erectile dysfunction	C0242350
Mutism	C0026884
Colonic Polyps	C0009376
Bleeding tendency	C1458140
Phobia, Social	C0031572
Hyperchloraemia	C0085679
Rosacea	C0035854
Tendinous contracture	C0158350
Sinusitis bacterial	C1262006
Muscular stiffness	C0221170
Megacolon, Toxic	C0025162
Carcinogenicity	C0858970
Hyperuricemia	C0740394
Diabetic Neuropathies	C0011882
Diabetic Nephropathy	C0011881
Diabetic Ketoacidosis	C0011880
Paranasal sinus hypersecretion	C1112369
Pyelonephritis	C0034186
Seizures, Focal	C0751495
Convulsive Seizures	C0751494
Neurodermatitis	C0027822
Hyperplasia	C0020507
Papilledema	C0030353
Myasthenia Gravis	C0026896
Localized rash	C0497364
Rash generalised	C0497365
Failure to gain weight	C0231246
Ventricular hypertrophy	C0340279
Facial edema	C0542571
Pain	C0030193
Memory impairment	C0233794
Pain in limb	C0030196
Metrorrhagia	C0025874
White blood cell count abnormal	C0580531
Tuberculosis, Pulmonary	C0041327
Tingling of extremity	C1504494
Oral pain	C0221776
Alopecia Areata	C0002171
Hypesthesia	C0020580
Cholelithiasis	C0008350
Dry cough	C0850149
Schizophrenia, Childhood	C0036346
Pharyngolaryngeal pain	C0858635
Schizophrenia	C0036341
Atrophic	C0333641
Skin Pigmentation	C0037290
Auricular swelling	C0549297
Coughing	C0010200
Acute schizophrenia	C0857501
Malnutrition	C0162429
Respiratory tract infection viral	C0877203
Hemorrhoids	C0019112
Immune System Diseases	C0021053
Traumatic haematoma	C0549453
Ataxia	C0004134
Akathisia	C0392156
Albumin low	C0860864
Atrioventricular Block	C0004245
Potassium low	C0860866
Massive Hepatic Necrosis	C0001364
Cold hands	C0424740
Cold feet	C0424741
Hepatomegaly	C0019209
Flushing	C0016382
Arthropathy	C0022408
Atrial fibrillation and flutter	C0155709
Lung diseases	C0024115
Chronic Obstructive Airway Disease	C0024117
Melancholia	C0025193
Bacterial Infections	C0004623
Diverticulitis	C0012813
Drug withdrawal syndrome	C0152128
Body Weight decreased	C0043096
Nasopharyngitis	C0027441
Thrombosis	C0040053
Keratitis	C0022568
Bipolar I disorder	C0853193
Cold symptoms	C0863093
Upper limb oedema	C0522035
Balanoposthitis	C0004691
Aura	C0236018
Keratoconus	C0022578
Hemoperitoneum	C0019065
Keratoconjunctivitis	C0022573
Keratoconjunctivitis Sicca	C0022575
Neutropenic sepsis	C0877153
Heart Block	C0018794
Epilepsy	C0014544
Lens Opacities	C1510497
Cardiac Arrest	C0018790
Endophthalmitis	C0014236
Tonic-Clonic Epilepsy	C0014549
Heart Diseases	C0018799
Swelling	C0038999
Jaundice, Obstructive	C0022354
Sweating	C0038990
Vulvovaginal mycotic infection	C1609512
Corneal infiltrates	C0853336
Drug Dependence	C1510472
Bulimia Nervosa	C2267227
Endometrial adenocarcinoma	C1153706
Ecchymosis	C0013491
Anxiety attack	C0700031
Erythema multiforme severe	C0234933
Increased appetite (finding)	C0232461
Decrease in appetite	C0232462
Local reaction	C0853813
Enzyme Induction	C0014431
Found dead (cause undetermined)	C0277589
Subarachnoid Hemorrhage	C0038525
Sleep Apnea, Obstructive	C0520679
Cogwheel Rigidity	C0151564
Premenstrual dysphoric disorder	C0520676
Bilirubin total increased	C0741494
Amenorrhea	C0002453
Candidiasis of vagina	C0006852
Pseudotumor Cerebri	C0033845
Pseudotumor	C0033844
Thrombocytopenia	C0040034
Liver tenderness	C0151767
Thromboembolism	C0040038
Polycythemia Vera	C0032463
Polycythemia	C0032461
Call-Fleming syndrome	C1142239
Atrioventricular junctional rhythm	C0232208
Arteriosclerosis	C0003850
Neutrophilia (disorder)	C3665444
Degenerative polyarthritis	C0029408
Muscle hemorrhage	C0151702
Pulmonary hemorrhage	C0151701
Pruritus generalised	C0475858
Orchitis noninfective	C1142011
Vomiting	C0042963
Hematological Disease	C0018939
Hematochezia	C0018932
Withdrawal seizures	C0235097
Cross resistance	C2363980
Upset stomach	C0235309
Skin thinness	C0423757
Skin Papilloma	C0347390
Dysphonia	C1527344
Renal Artery Stenosis	C0035067
Metabolic acidosis	C0220981
Ketoacidosis	C0220982
Metabolic alkalosis	C0220983
Lymphedema	C0024236
Candidiasis, Vulvovaginal	C0700345
Fertility female decreased	C0151639
Vein disorder	C0235522
Formication	C0016579
Red blood cell sedimentation rate increased	C0151632
Rectal Diseases	C0034882
Premature ventricular contractions	C0151636
Hyperacusis	C0034880
Myocarditis	C0027059
Anisocoria	C0003079
Vasculitis, Leukocytoclastic, Cutaneous	C0151436
Gilbert Disease (disorder)	C0017551
Myocardial Infarction	C0027051
Secondary adrenocortical insufficiency	C0271738
Difficulty passing urine	C0241705
Postinfarction angina	C1142492
Dysgraphia	C0234144
Blood uric acid increased	C0235416
Urine abnormality	C0235639
Mammary Neoplasms	C1458155
Hepatitis fulminant	C0302809
Nasal burning	C0542101
Malignant Neoplasms	C0006826
Eye swelling	C0270996
Steroid myopathy	C0270994
Watery eyes	C3257803
Liver Failure	C0085605
Urgency of micturition	C0085606
Polydipsia	C0085602
Recall phenomenon	C1262013
Abnormal involuntary movements	C0392702
Paraparesis	C0221166
Cardiomyopathy, Dilated	C0007193
Hypertrophic Cardiomyopathy	C0007194
Electrocardiogram change	C0855329
Skin toxicity	C1167791
Vaginal dryness	C0241633
Deep Vein Thrombosis	C0149871
Sinus headache	C0037195
Blood monocytes increased	C0860745
Sinusitis	C0037199
Bipolar II disorder	C0236788
Abnormal dreams	C0234458
Disease Progression	C0242656
Learning Disabilities	C0751265
Purpura	C0034150
Henoch-Schoenlein Purpura	C0034152
Flatulence	C0016204
Purpura, Thrombotic Thrombocytopenic	C0034155
Sarcoma	C1261473
Disorder of the optic nerve	C0029132
Optic Neuritis	C0029134
Tuberculosis, Meningeal	C0041318
Sensory Discomfort	C0234215
Hypocalcemia	C0020598
Tension	C0233494
Asthenia	C0004093
Asthma	C0004096
Skin nodule	C0037287
Asthenopia	C0004095
Seizures	C0036572
Pallor	C0030232
Adipose Tissue Atrophy	C0333650
Idiopathic thrombocytopenia	C0920163
Urine odour foul	C0549447
Ureteral obstruction	C0041956
Nail discoloration	C0221345
Shock	C0036974
Cerebral arteritis	C0007773
Cystitis	C0010692
Shivering	C0036973
Reflux gastritis	C0267158
Abrasion	C1302752
Folic Acid Deficiency	C0016412
Ulcerative stomatitis	C0038367
Aphthous Stomatitis	C0038363
Stomatitis	C0038362
Pruritus Ani	C0033775
Lung infiltration	C0235896
Migraine aggravated	C0235890
Allergy aggravated	C0235893
Depressive Symptoms	C0086132
Vascular Diseases	C0042373
Toe walking	C0427144
Hernia	C0019270
Pruritus genital	C0033777
Vascular Headaches	C0042376
Eosinophil count raised (finding)	C2240374
Influenza	C0021400
Vasculitis necrotising	C1318520
Cholestasis	C0008370
Oesophageal candidiasis	C0239295
Stinging Sensation	C0677500
Clumsiness	C0233844
Sciatica	C0036396
Sensorineural Hearing Loss (disorder)	C0018784
Infection of kidney	C0021313
Testicular Diseases	C0039584
Cardiac Death	C0376297
Sweat Gland Diseases	C0038986
Hot flushes	C0600142
Cancer pain	C0596240
Esophageal Achalasia	C0014848
Epistaxis	C0014591
Enterocolitis, Neutropenic	C0343387
Ear Diseases	C0013447
